date,home_team,away_team,referee_1,referee_2,referee_3,referees_csv
2024-10-22,LAL,MIN,,,,
2024-10-22,BOS,NYK,,,,
2024-10-23,DET,IND,,,,
2024-10-23,ATL,BRK,,,,
2024-10-23,GSW,POR,,,,
