date,home_team,away_team,home_score,away_score,winner,id,pts,fgm,fga,fg3m,tov,oreb,dreb,fta,ftm,ast,stl,blk,pf,home_off_rating,home_def_rating,home_efg_pct,home_ts_pct,home_pace,home_pie,opp_pts,opp_fgm,opp_fga,opp_fg3m,opp_tov,opp_oreb,opp_dreb,opp_fta,opp_ftm,opp_ast,opp_stl,opp_blk,opp_pf,away_off_rating,away_def_rating,away_efg_pct,away_ts_pct,away_pace,away_pie,correct,home_efg,away_efg,home_tov_pct,away_tov_pct,home_orb_pct,away_orb_pct,home_ftr,away_ftr,season,liga_ortg_avg,liga_drtg_avg,home_ortg_adj,away_ortg_adj,home_drtg_adj,away_drtg_adj,home_elo,away_elo,elo_diff,home_rest_days,away_rest_days,rest_advantage,home_b2b,away_b2b,home_games_in_7d,away_games_in_7d,home_rolling_5_points,home_rolling_5_efg,home_rolling_5_tov_pct,home_rolling_5_orb_pct,home_rolling_5_ftr,home_rolling_5_win,home_rolling_10_points,home_rolling_10_efg,home_rolling_10_tov_pct,home_rolling_10_orb_pct,home_rolling_10_ftr,home_rolling_10_win,home_win_streak,away_rolling_5_points,away_rolling_5_efg,away_rolling_5_tov_pct,away_rolling_5_orb_pct,away_rolling_5_ftr,away_rolling_5_win,away_rolling_10_points,away_rolling_10_efg,away_rolling_10_tov_pct,away_rolling_10_orb_pct,away_rolling_10_ftr,away_rolling_10_win,away_win_streak
2023-10-26,PHO,LAL,95,100,AWAY,0022300076,95.0,34.0,81.0,9.0,20.0,10.0,39.0,23.0,18.0,16.0,7.0,3.0,21.0,0.0,0.0,0.47530866,0.5212906,0.0,,100.0,36.0,84.0,5.0,16.0,8.0,34.0,29.0,23.0,24.0,14.0,7.0,23.0,0.0,0.0,0.45833334,0.51674247,0.0,,0,0.47530864197530864,0.4583333333333333,0.17998560115190784,0.1418942887548776,0.22727272727272727,0.1702127659574468,0.2839506172839506,0.34523809523809523,2023-2024,0.0,0.0,80.0,80.0,80.0,80.0,1505.0316753729692,1491.9810559853572,13.05061938761196,2.0,2.0,0.0,0,0,1,1,108.0,0.5,0.1564043463944682,0.3541666666666667,0.17894736842105263,1.0,108.0,0.5,0.1564043463944682,0.3541666666666667,0.17894736842105263,1.0,1.0,107.0,0.5111111111111111,0.10018214936247724,0.2826086956521739,0.2222222222222222,0.0,107.0,0.5111111111111111,0.10018214936247724,0.2826086956521739,0.2222222222222222,0.0,0.0
2023-10-27,ORL,POR,102,97,HOME,0022300086,102.0,36.0,79.0,9.0,14.0,10.0,35.0,32.0,21.0,22.0,10.0,5.0,16.0,0.0,0.0,0.51265824,0.54791576,0.0,,97.0,35.0,88.0,9.0,16.0,15.0,32.0,21.0,18.0,15.0,6.0,1.0,24.0,0.0,0.0,0.44886363,0.49876595,0.0,,0,0.5126582278481012,0.44886363636363635,0.1307433694434068,0.14129282938890853,0.23809523809523808,0.3,0.4050632911392405,0.23863636363636365,2023-2024,0.0,0.0,80.0,80.0,80.0,80.0,1510.735865431284,1491.9810559853572,18.754809445926867,2.0,2.0,0.0,0,0,1,1,116.0,0.5344827586206896,0.12451085023123444,0.4146341463414634,0.2988505747126437,1.0,116.0,0.5344827586206896,0.12451085023123444,0.4146341463414634,0.2988505747126437,1.0,1.0,111.0,0.5268817204301075,0.14470548178413348,0.32608695652173914,0.1827956989247312,0.0,111.0,0.5268817204301075,0.14470548178413348,0.32608695652173914,0.1827956989247312,0.0,0.0
2023-10-27,CHI,TOR,104,103,HOME,0022300082,104.0,37.0,99.0,8.0,16.0,15.0,37.0,28.0,22.0,18.0,10.0,5.0,22.0,0.0,0.0,0.41414142,0.4671218,0.0,,103.0,39.0,84.0,9.0,21.0,8.0,45.0,25.0,16.0,25.0,5.0,2.0,29.0,0.0,0.0,0.51785713,0.54210526,0.0,,0,0.41414141414141414,0.5178571428571429,0.12566760917373548,0.1810344827586207,0.25,0.17777777777777778,0.2828282828282828,0.2976190476190476,2023-2024,0.0,0.0,80.0,80.0,80.0,80.0,1486.7778070526608,1506.0205999132795,-19.242792860618692,2.0,2.0,0.0,0,0,1,1,104.0,0.4787234042553192,0.10533707865168539,0.2549019607843137,0.19148936170212766,0.0,104.0,0.4787234042553192,0.10533707865168539,0.2549019607843137,0.19148936170212766,0.0,0.0,97.0,0.4777777777777778,0.1260806916426513,0.14814814814814814,0.17777777777777778,1.0,97.0,0.4777777777777778,0.1260806916426513,0.14814814814814814,0.17777777777777778,1.0,1.0
2023-10-27,BRK,DAL,120,125,AWAY,0022300084,120.0,45.0,92.0,21.0,15.0,10.0,37.0,10.0,9.0,30.0,5.0,4.0,28.0,0.0,0.0,0.6032609,0.62240666,0.0,,125.0,44.0,91.0,15.0,9.0,8.0,32.0,28.0,22.0,20.0,5.0,2.0,15.0,0.0,0.0,0.56593406,0.60491675,0.0,,0,0.6032608695652174,0.5659340659340659,0.13464991023339318,0.08012820512820513,0.23809523809523808,0.17777777777777778,0.10869565217391304,0.3076923076923077,2023-2024,0.0,0.0,80.0,80.0,80.0,80.0,1497.832975369027,1506.501073892919,-8.668098523892013,2.0,2.0,0.0,0,0,1,1,113.0,0.5535714285714286,0.15119174670935612,0.30952380952380953,0.30952380952380953,0.0,113.0,0.5535714285714286,0.15119174670935612,0.30952380952380953,0.30952380952380953,0.0,0.0,126.0,0.5505050505050505,0.09907529722589167,0.2653061224489796,0.23232323232323232,1.0,126.0,0.5505050505050505,0.09907529722589167,0.2653061224489796,0.23232323232323232,1.0,1.0
2023-10-27,BOS,MIA,119,111,HOME,0022300080,119.0,45.0,95.0,16.0,15.0,16.0,39.0,19.0,13.0,20.0,7.0,6.0,19.0,0.0,0.0,0.55789477,0.5756579,0.0,,111.0,38.0,89.0,16.0,12.0,11.0,34.0,23.0,19.0,24.0,8.0,6.0,16.0,0.0,0.0,0.5168539,0.55992734,0.0,,0,0.5578947368421052,0.5168539325842697,0.12673200405542412,0.1079913606911447,0.32,0.22,0.2,0.25842696629213485,2023-2024,0.0,0.0,80.0,80.0,80.0,80.0,1506.9897000433602,1502.167024630973,4.822675412387298,2.0,2.0,0.0,0,0,1,1,108.0,0.5584415584415584,0.12815457413249212,0.1891891891891892,0.33766233766233766,1.0,108.0,0.5584415584415584,0.12815457413249212,0.1891891891891892,0.33766233766233766,1.0,1.0,103.0,0.44565217391304346,0.0633828323071351,0.2909090909090909,0.2826086956521739,1.0,103.0,0.44565217391304346,0.0633828323071351,0.2909090909090909,0.2826086956521739,1.0,1.0
2023-10-27,ATL,NYK,120,126,AWAY,0022300079,120.0,42.0,87.0,12.0,14.0,9.0,35.0,30.0,24.0,28.0,7.0,6.0,20.0,0.0,0.0,0.55172414,0.5988024,0.0,,126.0,43.0,90.0,20.0,16.0,12.0,33.0,28.0,20.0,30.0,9.0,6.0,21.0,0.0,0.0,0.5888889,0.6157154,0.0,,0,0.5517241379310345,0.5888888888888889,0.12259194395796848,0.1352265043948614,0.21428571428571427,0.2553191489361702,0.3448275862068966,0.3111111111111111,2023-2024,0.0,0.0,80.0,80.0,80.0,80.0,1493.9163927360178,1493.0102999566398,0.9060927793780138,2.0,2.0,0.0,0,0,1,1,110.0,0.44623655913978494,0.10040160642570281,0.23529411764705882,0.3548387096774194,0.0,110.0,0.44623655913978494,0.10040160642570281,0.23529411764705882,0.3548387096774194,0.0,0.0,104.0,0.4639175257731959,0.07663487738419619,0.30357142857142855,0.26804123711340205,0.0,104.0,0.4639175257731959,0.07663487738419619,0.30357142857142855,0.26804123711340205,0.0,0.0
2023-10-27,LAC,UTA,118,120,AWAY,0022300085,118.0,41.0,77.0,14.0,14.0,6.0,30.0,28.0,22.0,17.0,8.0,6.0,22.0,0.0,0.0,0.6233766,0.66054636,0.0,,120.0,42.0,96.0,16.0,14.0,17.0,28.0,22.0,20.0,27.0,7.0,4.0,24.0,0.0,0.0,0.5208333,0.5677517,0.0,,0,0.6233766233766234,0.5208333333333334,0.13550135501355015,0.11697860962566844,0.17647058823529413,0.3617021276595745,0.36363636363636365,0.22916666666666666,2023-2024,0.0,0.0,80.0,80.0,80.0,80.0,1508.0189440146428,1487.6955107862173,20.32343322842553,2.0,2.0,0.0,0,0,1,1,123.0,0.6111111111111112,0.14907050157839355,0.358974358974359,0.17777777777777778,1.0,123.0,0.6111111111111112,0.14907050157839355,0.358974358974359,0.17777777777777778,1.0,1.0,114.0,0.5,0.11800404585300067,0.34782608695652173,0.34065934065934067,0.0,114.0,0.5,0.11800404585300067,0.34782608695652173,0.34065934065934067,0.0,0.0
2023-10-27,DET,CHO,111,99,HOME,0022300077,111.0,40.0,88.0,10.0,23.0,12.0,41.0,25.0,21.0,28.0,7.0,6.0,29.0,0.0,0.0,0.5113636,0.56060606,0.0,,99.0,33.0,88.0,7.0,18.0,11.0,30.0,34.0,26.0,20.0,13.0,7.0,23.0,0.0,0.0,0.41477272,0.48076922,0.0,,0,0.5113636363636364,0.4147727272727273,0.1885245901639344,0.1488095238095238,0.2857142857142857,0.21153846153846154,0.2840909090909091,0.38636363636363635,2023-2024,0.0,0.0,80.0,80.0,80.0,80.0,1497.832975369027,1506.0836072639822,-8.250631894955177,2.0,2.0,0.0,0,0,1,1,102.0,0.5054347826086957,0.13961605584642234,0.3469387755102041,0.16304347826086957,0.0,102.0,0.5054347826086957,0.13961605584642234,0.3469387755102041,0.16304347826086957,0.0,0.0,116.0,0.563953488372093,0.16317416695293713,0.2857142857142857,0.3023255813953488,1.0,116.0,0.563953488372093,0.16317416695293713,0.2857142857142857,0.3023255813953488,1.0,1.0
2023-10-27,CLE,OKC,105,108,AWAY,0022300081,105.0,38.0,92.0,12.0,13.0,8.0,40.0,23.0,17.0,20.0,10.0,8.0,16.0,0.0,0.0,0.47826087,0.514101,0.0,,108.0,40.0,87.0,13.0,18.0,6.0,41.0,19.0,15.0,22.0,8.0,10.0,17.0,0.0,0.0,0.5344828,0.5662752,0.0,,0,0.4782608695652174,0.5344827586206896,0.11292564280750521,0.1587861679604799,0.16326530612244897,0.13043478260869565,0.25,0.21839080459770116,2023-2024,0.0,0.0,80.0,80.0,80.0,80.0,1502.167024630973,1513.2221929473392,-11.055168316366235,2.0,2.0,0.0,0,0,1,1,114.0,0.5585106382978723,0.09225092250922509,0.1956521739130435,0.10638297872340426,1.0,114.0,0.5585106382978723,0.09225092250922509,0.1956521739130435,0.10638297872340426,1.0,1.0,124.0,0.6646341463414634,0.14296606938619902,0.14705882352941177,0.21951219512195122,1.0,124.0,0.6646341463414634,0.14296606938619902,0.14705882352941177,0.21951219512195122,1.0,1.0
2023-10-27,GSW,SAC,122,114,HOME,0022300087,122.0,48.0,87.0,14.0,19.0,7.0,32.0,14.0,12.0,32.0,14.0,3.0,24.0,0.0,0.0,0.6321839,0.6547875,0.0,,114.0,41.0,94.0,12.0,14.0,10.0,31.0,29.0,20.0,24.0,10.0,3.0,16.0,0.0,0.0,0.5,0.53390783,0.0,,0,0.632183908045977,0.5,0.16940085592011414,0.11593242795627691,0.18421052631578946,0.23809523809523808,0.16091954022988506,0.30851063829787234,2023-2024,0.0,0.0,80.0,80.0,80.0,80.0,1494.9683246270308,1512.3044892137827,-17.33616458675192,3.0,2.0,1.0,0,0,1,1,104.0,0.40594059405940597,0.08848133848133849,0.29508196721311475,0.27722772277227725,0.0,104.0,0.40594059405940597,0.08848133848133849,0.29508196721311475,0.27722772277227725,0.0,0.0,130.0,0.553921568627451,0.090311986863711,0.2830188679245283,0.19607843137254902,1.0,130.0,0.553921568627451,0.090311986863711,0.2830188679245283,0.19607843137254902,1.0,1.0
