Player,Team,RAPM,ORAPM,DRAPM,RAPM_SOURCE
Tyler Smith,HOU,-0.76,-0.82,0.06,EXTERNAL_JSON
Jonathan Mogbo,TOR,-3.85,-3.29,-0.56,EXTERNAL_JSON
Jeremy Sochan,SAS,-1.88,-1.13,-0.75,EXTERNAL_JSON
Ryan Nembhard,DAL,-1.47,-0.27,-1.21,EXTERNAL_JSON
Blake Wesley,POR,-2.14,-1.6,-0.54,EXTERNAL_JSON
Trentyn Flowers,CHI,-1.36,-1.18,-0.19,EXTERNAL_JSON
Chris Mañon,LAL,-0.77,-0.5,-0.26,EXTERNAL_JSON
Gabe Vincent,LAL,-0.22,-0.26,0.04,EXTERNAL_JSON
DaRon Holmes II,DEN,-1.01,-0.68,-0.32,EXTERNAL_JSON
Johnny Juzang,MIN,-3.08,-1.74,-1.35,EXTERNAL_JSON
Chris Paul,LAC,1.36,1.33,0.03,EXTERNAL_JSON
Liam McNeeley,CHA,-0.47,-0.79,0.31,EXTERNAL_JSON
Patrick Williams,CHI,-1.79,-1.8,0.01,EXTERNAL_JSON
Al Horford,GSW,1.77,0.43,1.34,EXTERNAL_JSON
Jerami Grant,POR,-2.16,-0.53,-1.63,EXTERNAL_JSON
Jeremiah Fears,NOP,-5.15,-1.93,-3.22,EXTERNAL_JSON
Isaiah Stevens,SAC,-0.78,-0.78,-0.01,EXTERNAL_JSON
Pete Nance,MIL,-0.01,-0.24,0.23,EXTERNAL_JSON
Zeke Nnaji,DEN,-3.29,-3.52,0.23,EXTERNAL_JSON
Keaton Wallace,ATL,-1.9,-2.32,0.42,EXTERNAL_JSON
Tyus Jones,ORL,-3.13,-1.18,-1.95,EXTERNAL_JSON
Elijah Harkless,UTA,1.3,0.34,0.96,EXTERNAL_JSON
Myron Gardner,MIA,-1.02,-0.51,-0.51,EXTERNAL_JSON
Danny Wolf,BKN,-0.48,-1.18,0.7,EXTERNAL_JSON
Isaiah Collier,UTA,-4.78,-2.45,-2.33,EXTERNAL_JSON
Eric Gordon,PHI,-0.86,0.15,-1.02,EXTERNAL_JSON
Tidjane Salaün,CHA,-2.75,-3.17,0.42,EXTERNAL_JSON
JD Davison,HOU,-2.68,-2.0,-0.68,EXTERNAL_JSON
Mohamed Diawara,NYK,-1.6,-1.3,-0.3,EXTERNAL_JSON
Larry Nance Jr.,CLE,-1.07,-1.58,0.51,EXTERNAL_JSON
Bilal Coulibaly,WAS,-3.65,-2.42,-1.23,EXTERNAL_JSON
Collin Murray-Boyles,TOR,-2.05,-1.97,-0.08,EXTERNAL_JSON
Nikola Vucevic,CHI,-1.04,-0.2,-0.84,EXTERNAL_JSON
Yang Hansen,POR,-1.56,-1.22,-0.34,EXTERNAL_JSON
Lindy Waters III,SAS,-1.54,-0.73,-0.81,EXTERNAL_JSON
Isaiah Crawford,HOU,-0.49,-0.54,0.05,EXTERNAL_JSON
Ochai Agbaji,TOR,-1.13,-1.39,0.27,EXTERNAL_JSON
Drake Powell,BKN,-2.07,-1.55,-0.53,EXTERNAL_JSON
Tamar Bates,DEN,0.0,0.0,0.0,EXTERNAL_JSON
Nick Richards,PHX,-3.96,-1.45,-2.52,EXTERNAL_JSON
Thomas Sorber,OKC,0.0,0.0,0.0,EXTERNAL_JSON
Dario Saric,SAC,-1.1,-0.38,-0.72,EXTERNAL_JSON
Hugo González,BOS,1.37,0.81,0.56,EXTERNAL_JSON
RayJ Dennis,LAC,-1.77,-2.19,0.42,EXTERNAL_JSON
Noah Penda,ORL,1.37,1.66,-0.28,EXTERNAL_JSON
Kevin McCullar Jr.,NYK,-1.11,-0.9,-0.22,EXTERNAL_JSON
Jock Landale,MEM,-1.82,-0.67,-1.16,EXTERNAL_JSON
Jared McCain,PHI,-1.07,-0.96,-0.11,EXTERNAL_JSON
Nikola Đurišić,ATL,0.0,0.0,0.0,EXTERNAL_JSON
Sidy Cissoko,POR,0.94,-0.7,1.64,EXTERNAL_JSON
Nigel Hayes,PHX,-2.91,-2.23,-0.67,EXTERNAL_JSON
Jacob Toppin,ATL,-1.31,-1.24,-0.07,EXTERNAL_JSON
Caleb Martin,DAL,-2.21,-2.49,0.29,EXTERNAL_JSON
Egor Dëmin,BKN,-1.59,-1.09,-0.5,EXTERNAL_JSON
Rocco Zikarsky,MIN,0.0,0.0,0.0,EXTERNAL_JSON
Drew Peterson,CHA,-0.82,-0.49,-0.33,EXTERNAL_JSON
Bronny James,LAL,-2.2,-1.53,-0.67,EXTERNAL_JSON
Kasparas Jakučionis,MIA,-1.07,-0.79,-0.27,EXTERNAL_JSON
Bobi Klintman,DET,-1.61,-0.8,-0.81,EXTERNAL_JSON
Trey Alexander,NOP,-1.1,-0.95,-0.15,EXTERNAL_JSON
Alex Antetokounmpo,MIL,0.0,0.0,0.0,EXTERNAL_JSON
Terance Mann,BKN,-1.32,0.71,-2.04,EXTERNAL_JSON
Jahmai Mashack,MEM,-0.87,-0.76,-0.11,EXTERNAL_JSON
Mark Sears,MIL,-0.19,-0.1,-0.09,EXTERNAL_JSON
Andre Jackson Jr.,MIL,-2.94,-1.43,-1.51,EXTERNAL_JSON
Jalen Pickett,DEN,-1.7,-1.74,0.04,EXTERNAL_JSON
Jase Richardson,ORL,0.07,0.58,-0.51,EXTERNAL_JSON
John Tonje,UTA,0.0,0.0,0.0,EXTERNAL_JSON
Yves Missi,NOP,-4.32,-2.25,-2.07,EXTERNAL_JSON
Isaac Jones,DET,-3.01,-1.89,-1.13,EXTERNAL_JSON
Max Shulga,BOS,0.0,0.0,0.0,EXTERNAL_JSON
Daeqwon Plowden,SAC,-0.8,-0.9,0.1,EXTERNAL_JSON
Koby Brea,PHX,-1.28,-0.76,-0.53,EXTERNAL_JSON
Javonte Cooke,POR,-1.33,-1.14,-0.19,EXTERNAL_JSON
Luke Travers,CLE,-1.87,-1.6,-0.28,EXTERNAL_JSON
Javon Small,MEM,-0.98,-0.2,-0.79,EXTERNAL_JSON
Yanic Konan Niederhäuser,LAC,-1.66,-1.1,-0.56,EXTERNAL_JSON
Khaman Maluach,PHX,-1.7,-1.22,-0.48,EXTERNAL_JSON
LJ Cryer,GSW,0.0,0.0,0.0,EXTERNAL_JSON
Brooks Barnhizer,OKC,-3.63,-2.66,-0.97,EXTERNAL_JSON
Curtis Jones,DEN,-0.75,-0.65,-0.1,EXTERNAL_JSON
Kevin Love,UTA,-0.38,0.97,-1.34,EXTERNAL_JSON
Rasheer Fleming,PHX,-1.74,-1.47,-0.27,EXTERNAL_JSON
Tosan Evbuomwan,NYK,-2.45,-2.63,0.18,EXTERNAL_JSON
Kam Jones,IND,0.0,0.0,0.0,EXTERNAL_JSON
Jordan Clarkson,NYK,-1.36,0.23,-1.59,EXTERNAL_JSON
Keyonte George,UTA,-5.4,-1.06,-4.34,EXTERNAL_JSON
AJ Lawson,TOR,-1.53,-0.76,-0.77,EXTERNAL_JSON
Nolan Traore,BKN,-1.86,-1.15,-0.72,EXTERNAL_JSON
Anthony Gill,WAS,-0.78,-0.99,0.21,EXTERNAL_JSON
Tyrese Martin,BKN,-3.76,-2.52,-1.24,EXTERNAL_JSON
Jericho Sims,MIL,-3.45,-3.2,-0.25,EXTERNAL_JSON
KJ Simpson,CHA,-4.21,-2.96,-1.25,EXTERNAL_JSON
N'Faly Dante,ATL,-0.5,-0.19,-0.31,EXTERNAL_JSON
Eli John Ndiaye,ATL,0.0,0.0,0.0,EXTERNAL_JSON
Keshad Johnson,MIA,-1.2,-0.9,-0.3,EXTERNAL_JSON
Moussa Cisse,DAL,-0.72,-0.75,0.03,EXTERNAL_JSON
Kobe Sanders,LAC,-0.86,-0.43,-0.43,EXTERNAL_JSON
Olivier-Maxence Prosper,MEM,-4.52,-3.93,-0.59,EXTERNAL_JSON
DeAndre Jordan,NOP,-2.46,-1.9,-0.56,EXTERNAL_JSON
Tre Johnson,WAS,-2.27,-1.55,-0.73,EXTERNAL_JSON
Ariel Hukporti,NYK,-3.19,-2.92,-0.27,EXTERNAL_JSON
Joan Beringer,MIN,-0.77,-0.86,0.09,EXTERNAL_JSON
Chris Youngblood,OKC,-1.89,-1.45,-0.44,EXTERNAL_JSON
Tyrese Proctor,CLE,-2.39,-2.04,-0.35,EXTERNAL_JSON
Ace Bailey,UTA,-2.84,-1.49,-1.35,EXTERNAL_JSON
Nick Smith Jr.,LAL,-6.31,-4.47,-1.84,EXTERNAL_JSON
Malaki Branham,WAS,-4.69,-2.61,-2.08,EXTERNAL_JSON
Daniss Jenkins,DET,-1.22,-0.95,-0.27,EXTERNAL_JSON
Jarace Walker,IND,-4.87,-3.53,-1.35,EXTERNAL_JSON
Nique Clifford,SAC,-1.4,-1.02,-0.38,EXTERNAL_JSON
Miles Kelly,DAL,-1.16,-0.82,-0.34,EXTERNAL_JSON
Drew Timme,LAL,-2.03,-1.37,-0.67,EXTERNAL_JSON
Hunter Sallis,PHI,-1.75,-1.33,-0.43,EXTERNAL_JSON
Enrique Freeman,MIN,-1.55,-1.02,-0.52,EXTERNAL_JSON
Jahmir Young,MIA,-1.24,-0.31,-0.93,EXTERNAL_JSON
Noa Essengue,CHI,-1.61,-1.02,-0.58,EXTERNAL_JSON
Will Riley,WAS,-3.6,-2.02,-1.57,EXTERNAL_JSON
Ben Saraf,BKN,-0.86,-0.33,-0.53,EXTERNAL_JSON
Bruce Brown,DEN,-2.54,-0.86,-1.67,EXTERNAL_JSON
Amir Coffey,MIL,-3.32,-2.12,-1.2,EXTERNAL_JSON
Terrence Shannon Jr.,MIN,-2.23,-1.23,-1.0,EXTERNAL_JSON
Sharife Cooper,WAS,-1.78,-1.38,-0.4,EXTERNAL_JSON
Jett Howard,ORL,-2.37,-1.05,-1.32,EXTERNAL_JSON
Tre Mann,CHA,-3.91,-1.92,-1.98,EXTERNAL_JSON
Hunter Dickinson,NOP,-1.4,-0.87,-0.53,EXTERNAL_JSON
Justin Edwards,PHI,-5.93,-1.42,-4.5,EXTERNAL_JSON
Kyle Lowry,PHI,0.64,-0.1,0.75,EXTERNAL_JSON
Pacôme Dadiet,NYK,-2.08,-1.06,-1.02,EXTERNAL_JSON
Alijah Martin,TOR,-0.69,-0.54,-0.15,EXTERNAL_JSON
Dennis Schroder,SAC,-0.89,-0.73,-0.16,EXTERNAL_JSON
Terry Rozier,MIA,-3.05,-1.73,-1.32,EXTERNAL_JSON
Taelon Peter,IND,-2.03,-2.12,0.09,EXTERNAL_JSON
Hunter Tyson,DEN,-3.03,-3.34,0.31,EXTERNAL_JSON
Micah Peavy,NOP,-1.14,-0.47,-0.67,EXTERNAL_JSON
Jamir Watkins,WAS,-2.29,-1.46,-0.83,EXTERNAL_JSON
Chaz Lanier,DET,-2.1,-0.99,-1.11,EXTERNAL_JSON
Malevy Leons,GSW,-1.42,-1.09,-0.32,EXTERNAL_JSON
Rayan Rupert,POR,-2.8,-2.3,-0.51,EXTERNAL_JSON
Carter Bryant,SAS,0.05,-0.53,0.58,EXTERNAL_JSON
Tyson Etienne,BKN,-2.2,-1.41,-0.79,EXTERNAL_JSON
Jordan Hawkins,NOP,-4.59,-2.06,-2.54,EXTERNAL_JSON
Caleb Love,POR,-2.74,-1.97,-0.77,EXTERNAL_JSON
Colin Castleton,ORL,-2.04,-2.06,0.02,EXTERNAL_JSON
Bismack Biyombo,SAS,-3.28,-2.02,-1.25,EXTERNAL_JSON
Vladislav Goldin,MIA,0.0,0.0,0.0,EXTERNAL_JSON
Joe Ingles,MIN,1.4,1.55,-0.15,EXTERNAL_JSON
Orlando Robinson,ORL,-2.56,-2.23,-0.33,EXTERNAL_JSON
Chucky Hepburn,TOR,-1.05,-0.89,-0.16,EXTERNAL_JSON
Julian Strawther,DEN,-4.32,-2.94,-1.38,EXTERNAL_JSON
Adou Thiero,LAL,-1.57,-0.42,-1.14,EXTERNAL_JSON
Rob Dillingham,MIN,-1.86,-1.37,-0.49,EXTERNAL_JSON
Dylan Cardwell,SAC,-1.03,-0.27,-0.76,EXTERNAL_JSON
Garrett Temple,TOR,-3.53,-2.53,-1.0,EXTERNAL_JSON
Lachlan Olbrich,CHI,-1.35,-1.1,-0.26,EXTERNAL_JSON
Kyle Kuzma,MIL,-3.3,-2.28,-1.02,EXTERNAL_JSON
Amari Williams,BOS,-1.36,-0.93,-0.43,EXTERNAL_JSON
Johni Broome,PHI,-2.1,-1.73,-0.38,EXTERNAL_JSON
Cody Williams,UTA,-4.84,-3.25,-1.59,EXTERNAL_JSON
AJ Johnson,WAS,-3.31,-2.06,-1.25,EXTERNAL_JSON
GG Jackson,MEM,-4.59,-3.14,-1.45,EXTERNAL_JSON
Trey Jemison,NYK,-2.22,-1.93,-0.29,EXTERNAL_JSON
Carlton Carrington,WAS,-7.95,-4.35,-3.6,EXTERNAL_JSON
Jeff Green,HOU,-3.48,-1.12,-2.36,EXTERNAL_JSON
