Player,Team,RAPM,ORAPM,DRAPM,RAPM_SOURCE
Darius Garland,CLE,-0.67,0.91,-1.58,EXTERNAL_JSON
Julius Randle,MIN,1.6,2.17,-0.57,EXTERNAL_JSON
Donte DiVincenzo,MIN,0.28,1.12,-0.83,EXTERNAL_JSON
Jarred Vanderbilt,LAL,-0.28,-0.31,0.03,EXTERNAL_JSON
Trae Young,ATL,-0.57,2.63,-3.2,EXTERNAL_JSON
Norman Powell,MIA,2.44,1.6,0.84,EXTERNAL_JSON
Cason Wallace,OKC,1.85,-0.07,1.92,EXTERNAL_JSON
Myles Turner,MIL,1.93,1.51,0.43,EXTERNAL_JSON
Reed Sheppard,HOU,-0.79,-0.23,-0.57,EXTERNAL_JSON
Luke Kornet,SAS,2.61,1.35,1.26,EXTERNAL_JSON
Dereck Lively II,DAL,3.59,1.91,1.68,EXTERNAL_JSON
Onyeka Okongwu,ATL,-0.37,-0.04,-0.33,EXTERNAL_JSON
Moussa Diabate,CHA,0.54,0.35,0.18,EXTERNAL_JSON
Jalen Smith,CHI,-0.05,1.37,-1.42,EXTERNAL_JSON
De'Aaron Fox,SAS,0.81,2.14,-1.34,EXTERNAL_JSON
Immanuel Quickley,TOR,1.95,-0.21,2.16,EXTERNAL_JSON
Damian Lillard,POR,2.89,3.37,-0.49,EXTERNAL_JSON
Isaiah Joe,OKC,1.98,1.71,0.27,EXTERNAL_JSON
LaMelo Ball,CHA,0.68,3.34,-2.67,EXTERNAL_JSON
Jordan McLaughlin,SAS,1.21,0.42,0.78,EXTERNAL_JSON
Luguentz Dort,OKC,-0.11,-0.15,0.04,EXTERNAL_JSON
Sandro Mamukelashvili,TOR,0.58,-0.09,0.66,EXTERNAL_JSON
Walker Kessler,UTA,0.7,-0.24,0.94,EXTERNAL_JSON
Moses Moody,GSW,-0.93,-1.7,0.76,EXTERNAL_JSON
Miles McBride,NYK,3.07,1.66,1.41,EXTERNAL_JSON
Ausar Thompson,DET,2.18,0.15,2.03,EXTERNAL_JSON
Toumani Camara,POR,1.1,-0.62,1.72,EXTERNAL_JSON
Brandin Podziemski,GSW,1.34,-0.68,2.02,EXTERNAL_JSON
Sam Hauser,BOS,1.91,2.04,-0.13,EXTERNAL_JSON
Mikal Bridges,NYK,1.8,0.86,0.94,EXTERNAL_JSON
Matisse Thybulle,POR,-0.03,-1.74,1.71,EXTERNAL_JSON
Keon Ellis,SAC,0.31,-0.44,0.75,EXTERNAL_JSON
Neemias Queta,BOS,2.63,0.9,1.73,EXTERNAL_JSON
Jabari Smith Jr.,HOU,0.25,-0.14,0.39,EXTERNAL_JSON
Anthony Black,ORL,0.05,-0.63,0.68,EXTERNAL_JSON
Moritz Wagner,ORL,-0.69,-0.25,-0.44,EXTERNAL_JSON
Josh Giddey,CHI,-0.9,0.05,-0.95,EXTERNAL_JSON
Lonzo Ball,CLE,-0.04,-1.15,1.11,EXTERNAL_JSON
Dean Wade,CLE,2.7,0.41,2.28,EXTERNAL_JSON
Jaylon Tyson,CLE,0.09,0.53,-0.44,EXTERNAL_JSON
Max Strus,CLE,0.57,0.2,0.37,EXTERNAL_JSON
Kris Dunn,LAC,-0.4,-0.65,0.25,EXTERNAL_JSON
Julian Champagnie,SAS,0.02,0.7,-0.68,EXTERNAL_JSON
Ryan Rollins,MIL,-0.77,-0.55,-0.21,EXTERNAL_JSON
Desmond Bane,ORL,2.0,2.3,-0.31,EXTERNAL_JSON
Paolo Banchero,ORL,-1.34,-0.61,-0.73,EXTERNAL_JSON
Wendell Carter Jr.,ORL,0.2,-1.71,1.91,EXTERNAL_JSON
Naz Reid,MIN,-0.62,-1.08,0.46,EXTERNAL_JSON
Kelly Olynyk,SAS,-0.44,0.49,-0.93,EXTERNAL_JSON
Donovan Clingan,POR,0.66,-0.51,1.16,EXTERNAL_JSON
Mason Plumlee,CHA,0.08,0.92,-0.83,EXTERNAL_JSON
Deandre Ayton,LAL,-1.35,-0.8,-0.54,EXTERNAL_JSON
Dorian Finney-Smith,HOU,3.4,1.64,1.76,EXTERNAL_JSON
A.J. Green,MIL,2.36,0.41,1.95,EXTERNAL_JSON
Santi Aldama,MEM,-0.96,0.77,-1.72,EXTERNAL_JSON
Daniel Gafford,DAL,0.88,0.45,0.43,EXTERNAL_JSON
Oso Ighodaro,PHX,0.62,-1.02,1.64,EXTERNAL_JSON
Jalen Green,PHX,-2.8,-0.56,-2.23,EXTERNAL_JSON
Luka Garza,BOS,-1.93,-0.99,-0.94,EXTERNAL_JSON
Javonte Green,DET,0.92,0.16,0.76,EXTERNAL_JSON
Sam Merrill,CLE,1.19,0.13,1.07,EXTERNAL_JSON
Nickeil Alexander-Walker,ATL,1.54,0.67,0.87,EXTERNAL_JSON
De'Anthony Melton,GSW,1.8,1.11,0.69,EXTERNAL_JSON
Derik Queen,NOP,-2.11,0.23,-2.34,EXTERNAL_JSON
Keegan Murray,SAC,1.07,-0.06,1.13,EXTERNAL_JSON
P.J. Washington,DAL,0.5,-0.47,0.98,EXTERNAL_JSON
Marcus Smart,LAL,2.38,0.37,2.01,EXTERNAL_JSON
