id,date,home_team,away_team,prob_home,prob_away,prob_mc_home,prob_mc_away,odd_home,odd_away,prediction,confidence,home_score,away_score,winner,correct,timestamp,fgm,fga,fg3m,tov,oreb,dreb,fta,ftm,ast,stl,blk,pf,pts,opp_fgm,opp_fga,opp_fg3m,opp_tov,opp_oreb,opp_dreb,opp_fta,opp_ftm,opp_ast,opp_stl,opp_blk,opp_pf,opp_pts,predicted_spread,predicted_total,ci_lower,ci_upper
2024-10-08_DallasMavericks_MemphisGrizzlies,2024-10-08,Dallas Mavericks,Memphis Grizzlies,50.0,50.0,0.0,0.0,0.0,0.0,AWAY,N/A,116,121,AWAY,1.0,2025-11-25 12:38:58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
2024-10-08_SanAntonioSpurs_OklahomaCityThunder,2024-10-08,San Antonio Spurs,Oklahoma City Thunder,50.0,50.0,0.0,0.0,0.0,0.0,AWAY,N/A,107,112,AWAY,1.0,2025-11-25 12:38:58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
2024-10-08_UtahJazz_HoustonRockets,2024-10-08,Utah Jazz,Houston Rockets,50.0,50.0,0.0,0.0,0.0,0.0,AWAY,N/A,122,113,HOME,0.0,2025-11-25 12:38:58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
2024-10-08_CharlotteHornets_MiamiHeat,2024-10-08,Charlotte Hornets,Miami Heat,50.0,50.0,0.0,0.0,0.0,0.0,AWAY,N/A,111,108,HOME,0.0,2025-11-25 12:38:58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
2024-10-08_ClevelandCavaliers_ChicagoBulls,2024-10-08,Cleveland Cavaliers,Chicago Bulls,50.0,50.0,0.0,0.0,0.0,0.0,AWAY,N/A,112,116,AWAY,1.0,2025-11-25 12:38:58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
2024-10-08_DetroitPistons_PhoenixSuns,2024-10-08,Detroit Pistons,Phoenix Suns,50.0,50.0,0.0,0.0,0.0,0.0,AWAY,N/A,97,105,AWAY,1.0,2025-11-25 12:38:58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
2024-10-08_AtlantaHawks_IndianaPacers,2024-10-08,Atlanta Hawks,Indiana Pacers,50.0,50.0,0.0,0.0,0.0,0.0,AWAY,N/A,131,130,HOME,0.0,2025-11-25 12:38:58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
2024-10-09_LAClippers_BrooklynNets,2024-10-09,LA Clippers,Brooklyn Nets,50.0,50.0,0.0,0.0,0.0,0.0,AWAY,N/A,115,106,HOME,0.0,2025-11-25 12:38:58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
2024-10-09_NewYorkKnicks_WashingtonWizards,2024-10-09,New York Knicks,Washington Wizards,50.0,50.0,0.0,0.0,0.0,0.0,AWAY,N/A,117,94,HOME,0.0,2025-11-25 12:38:58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
2024-10-10_OklahomaCityThunder_HoustonRockets,2024-10-10,Oklahoma City Thunder,Houston Rockets,50.0,50.0,0.0,0.0,0.0,0.0,AWAY,N/A,113,122,AWAY,1.0,2025-11-25 12:38:58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
