feature,importance
away_efg,0.17205415797068266
home_efg,0.14121958848016006
interaction_win_ratio,0.03223218280873654
rapm_diff,0.019374335107494752
home_rolling_10_efg,0.019080934301892213
interaction_home_composite,0.017293636060869078
depth_diff,0.016376828998916602
home_rolling_5_efg,0.01630642093782287
away_rapm_avg,0.015340163953025137
home_rapm_avg,0.01416517421117476
home_rolling_10_points,0.013840082749801091
home_rolling_10_tov_pct,0.013559245445877612
away_orapm_avg,0.013090830642522268
away_rapm_top,0.012800951196829375
h2h_avg_point_diff,0.012707106786897874
away_rolling_5_efg,0.012153216201614333
away_rolling_10_tov_pct,0.012035846224568035
interaction_efg_product,0.011879684767130791
away_rolling_10_win,0.011522932101565216
away_depth_score,0.011254702103390007
home_orapm_avg,0.011151977245410503
away_rolling_10_efg,0.01092297564742333
home_rolling_5_tov_pct,0.010799233807261327
home_rolling_5_points,0.010527473134519771
away_rolling_5_tov_pct,0.010509375416612716
away_rolling_10_orb_pct,0.010499394530754965
home_rapm_std,0.0100125325437446
home_sos_10,0.00996384161831462
away_rolling_10_ftr,0.009873164325980979
away_rolling_10_points,0.009810670983719426
home_rolling_5_ftr,0.009655623247497233
interaction_sos_diff,0.009594206383584361
interaction_sos_product,0.009485308242598207
away_drapm_avg,0.009428743460071711
away_rolling_5_points,0.009403414144997261
home_rolling_10_orb_pct,0.009342409301768998
home_rolling_10_ftr,0.00922686417369701
home_depth_score,0.009215860688076678
home_rolling_5_orb_pct,0.009129979166291933
away_net_rating_trend,0.008905458351266476
away_rolling_5_ftr,0.0088599837094486
away_rapm_std,0.008650860028400284
home_net_rating_trend,0.008639906969773674
bpm_diff,0.008557614700676683
away_rolling_5_orb_pct,0.008367567224044923
away_sos_10,0.008333092264773405
home_rapm_top,0.008140143060516405
home_rolling_10_win,0.007680285440014698
away_travel_dist,0.007219579838518329
interaction_win_product,0.006690192435466519
away_rolling_5_win,0.00647082442558226
away_bpm_avg,0.006093465277241495
home_bpm_avg,0.006057860848179937
away_bpm_top,0.006018276304548184
home_bpm_std,0.0059769024115550445
away_bpm_std,0.005819289311739086
home_drapm_avg,0.005543796725707269
home_bpm_top,0.005264028038990597
interaction_streak_diff,0.004980967640594131
h2h_home_win_rate,0.004649581457405175
home_travel_dist,0.004432361827613867
interaction_away_momentum,0.004024625318838178
h2h_games_played,0.00400865795338381
interaction_home_momentum,0.003739805557295392
home_rolling_5_win,0.0035163878463886546
home_player_count,0.0034720483804794974
away_rest_days,0.003429648715122763
rest_diff,0.0032385843781290815
rest_advantage,0.003098853824675028
interaction_rest_diff,0.0029734589352966743
away_win_streak,0.002526845136055081
home_games_in_7d,0.0024312776088982945
home_win_streak,0.0024182257900455823
home_rest_days,0.0023970185992298137
away_games_in_7d,0.0022168224097796944
away_player_count,0.0018549163857389983
home_team_CHO,0.0011829359354818712
away_b2b,0.001085900102261934
away_is_back_to_back,0.0009630508091572874
home_team_NYK,0.0007452565231407886
away_team_WAS,0.0006930225417497793
away_team_SAC,0.0006901192683233635
home_team_PHO,0.0006409227894549968
home_team_BOS,0.0006038572948899895
away_team_CHO,0.0006032047736994338
home_team_LAC,0.0005993591124042297
away_team_SAS,0.0005834491701905455
home_is_back_to_back,0.0005803814991990352
home_team_GSW,0.0005687237852667838
home_b2b,0.0005574697201256743
away_team_POR,0.000556387733597757
away_team_MEM,0.0005330257138301054
home_team_BRK,0.000530322439539293
home_team_LAL,0.0005262537800374294
away_team_GSW,0.0005096270434778149
home_team_HOU,0.0005024898229076273
home_team_NOP,0.0004867509123724108
home_team_UTA,0.000479594704584692
home_team_TOR,0.000459480327356926
home_altitude_advantage,0.0004207072441130664
home_team_PHI,0.0004192690587782071
away_team_TOR,0.00041123044107606397
away_team_IND,0.0004071779809291871
away_team_NYK,0.00039561226176205164
away_team_OKC,0.00037638228074552115
home_team_MIN,0.00036736156425211164
away_team_MIL,0.0003655170833121355
away_team_MIN,0.00035246355808266495
home_team_SAS,0.0003448050253986691
home_team_MIA,0.00033721937418878346
away_team_ATL,0.00032451117243546726
home_team_IND,0.00032163890839447977
away_team_HOU,0.0003215195440304258
away_team_UTA,0.0003208169726554461
away_team_PHI,0.00031521361740195357
home_team_DAL,0.0003117314872819823
home_team_DEN,0.0003112649384733145
away_team_LAC,0.00030344564080689844
away_team_DEN,0.00030305492856958264
home_team_SAC,0.0002997678373150028
away_team_BRK,0.00029922193534726374
away_team_DAL,0.0002915861804860772
away_team_ORL,0.0002768687084168478
home_team_MEM,0.0002688569736601183
away_team_LAL,0.0002661096205113214
away_team_PHO,0.00026552171795049247
home_team_MIL,0.0002636070038875311
home_team_ATL,0.00024139709732110576
home_team_ORL,0.00022887019598378947
home_team_POR,0.00022295417716761994
away_team_DET,0.00021013382069613428
away_team_CLE,0.0002056742437700374
home_team_DET,0.00018868628999543096
away_team_MIA,0.00018428177406932278
away_team_CHI,0.00018428076966397347
home_team_CLE,0.0001807512144103691
away_team_NOP,0.00017854650200990388
away_team_BOS,0.00015694876430703337
home_team_WAS,0.00013442468249944453
home_team_OKC,0.00011247339791737844
home_team_CHI,8.622396216549644e-05
away_altitude_advantage,0.0
